year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2014,2014-15-04,Sat,28/06/2014,7:40 PM,,15862,Gabba,BRI,4,0
2014,2014-15-05,Sat,28/06/2014,7:40 PM,,27778,S.C.G.,SYD,46,0
2014,2014-15-06,Sun,29/06/2014,1:10 PM,,24953,Docklands,WBD,6,0
2014,2014-15-07,Sun,29/06/2014,3:40 PM,4:10 PM,50552,ADE Oval,ADE,23,0
2014,2014-15-08,Sun,29/06/2014,7:10 PM,,40939,M.C.G.,COL,15,0
2014,2014-16-00,Fri,04/07/2014,7:50 PM,,35025,Docklands,NM,20,0
2014,2014-16-01,Sat,05/07/2014,1:45 PM,,34577,M.C.G.,RIC,25,0
2014,2014-16-02,Sat,05/07/2014,2:10 PM,,8383,SYD Showground,ADE,68,0
2014,2014-16-03,Sat,05/07/2014,4:40 PM,,24032,Carrara,GCS,5,0
2014,2014-16-04,Sat,05/07/2014,7:10 PM,7:40 PM,46786,ADE Oval,ESS,2,0
2014,2014-16-05,Sat,05/07/2014,7:10 PM,7:40 PM,9290,Marrara Oval,FRE,63,0
2014,2014-16-06,Sun,06/07/2014,1:10 PM,,29297,Docklands,CAR,85,0
2014,2014-16-07,Sun,06/07/2014,1:20 PM,3:20 PM,25076,Subiaco,SYD,28,0
2014,2014-16-08,Sun,06/07/2014,4:40 PM,,24766,Kardinia Park,GEE,13,0
2014,2014-17-00,Fri,11/07/2014,7:20 PM,7:50 PM,50321,ADE Oval,HAW,12,0
2014,2014-17-01,Sat,12/07/2014,1:45 PM,,36385,M.C.G.,GEE,66,0
2014,2014-17-02,Sat,12/07/2014,2:10 PM,,10641,Bellerive Oval,NM,59,0
2014,2014-17-03,Sat,12/07/2014,4:40 PM,,9746,Cazaly's Stadium,WBD,28,0
2014,2014-17-04,Sat,12/07/2014,7:40 PM,,34965,S.C.G.,SYD,71,0
2014,2014-17-05,Sat,12/07/2014,7:40 PM,,13610,Gabba,WCE,12,0
2014,2014-17-06,Sun,13/07/2014,1:10 PM,,21483,Docklands,RIC,20,0
2014,2014-17-07,Sun,13/07/2014,3:20 PM,,58996,M.C.G.,ESS,64,0
2014,2014-17-08,Sun,13/07/2014,2:40 PM,4:40 PM,33597,Subiaco,FRE,76,0
2014,2014-18-00,Fri,18/07/2014,7:50 PM,,36689,Docklands,CAR,23,0
2014,2014-18-01,Sat,19/07/2014,4:40 PM,,16594,Docklands,STK,58,0
2014,2014-18-02,Sat,19/07/2014,7:40 PM,,7697,SYD Showground,GEE,7,0
2014,2014-18-03,Sun,20/07/2014,12:40 PM,1:10 PM,37894,ADE Oval,POR,3,0
2014,2014-18-04,Sun,20/07/2014,4:40 PM,,34476,Docklands,ESS,7,0
2014,2014-18-05,Fri,25/07/2014,6:40 PM,8:40 PM,32270,Subiaco,RIC,17,0
2014,2014-18-06,Sat,26/07/2014,4:40 PM,,27167,Gabba,BRI,54,0
2014,2014-18-07,Sat,26/07/2014,7:40 PM,,72768,M.C.G.,HAW,10,0
2014,2014-18-08,Sun,27/07/2014,4:40 PM,,41486,M.C.G.,ADE,16,0
2014,2014-19-00,Thu,31/07/2014,6:10 PM,8:10 PM,35401,Subiaco,FRE,5,0
2014,2014-19-01,Fri,01/08/2014,7:50 PM,,36804,S.C.G.,SYD,22,0
2014,2014-19-02,Sat,02/08/2014,1:10 PM,1:40 PM,49470,ADE Oval,WCE,31,0
2014,2014-19-03,Sat,02/08/2014,4:40 PM,,23095,M.C.G.,RIC,27,0
2014,2014-19-04,Sat,02/08/2014,7:40 PM,,32564,Docklands,GEE,32,0
2014,2014-19-05,Sat,02/08/2014,7:40 PM,,12027,Carrara,GCS,53,0
2014,2014-19-06,Sun,03/08/2014,1:10 PM,,18079,Docklands,BRI,23,0
2014,2014-19-07,Sun,03/08/2014,3:20 PM,,14187,York Park,HAW,62,0
