matchid,team,score_progression,score
2014-05-06,MEL,3.2   4.4  6.10 11.12,78  
2014-05-06,GCS,2.7  6.12  8.17 11.20,86  
2014-05-07,WBD,3.3   8.6  12.8 13.13,91  
2014-05-07,CAR,7.3  13.6  16.9 18.11,119  
2014-05-08,GEE,3.5   6.9  9.14 15.16,106  
2014-05-08,HAW,3.2   5.9  8.12 12.15,87  
2014-06-00,COL,0.3   6.5   9.7 12.11,83  
2014-06-00,ESS,5.4   6.5   6.7  8.12,60  
2014-06-01,STK,2.2   4.4   7.8 11.13,79  
2014-06-01,BRI,4.3   8.5  10.9 12.10,82  
2014-06-02,FRE,4.4   6.8   8.8  8.13,61  
2014-06-02,NM,2.4   5.6  7.11 10.14,74  
2014-06-03,GCS,6.1   8.8 14.12 20.14,134  
2014-06-03,GWS,1.6   5.9  8.12 13.16,94  
2014-06-04,CAR,4.2   8.5   9.7  14.8,92  
2014-06-04,WCE,4.3   7.6  11.9 12.17,89  
2014-06-05,MEL,1.2   2.3   4.4   5.8,38  
2014-06-05,SYD,4.5   4.8  7.12  9.15,69  
2014-06-06,WBD,4.2   6.5   6.6 12.11,83  
2014-06-06,ADE,1.4   5.7  8.10 13.14,92  
2014-06-07,RIC,2.0   3.1   4.6  7.10,52  
2014-06-07,HAW,4.7   6.9 14.10 18.10,118  
2014-06-08,POR,4.2   8.3  13.6 16.11,107  
2014-06-08,GEE,4.4   4.9  6.10  9.13,67  
2014-07-00,CAR,1.2   1.5   2.7 10.10,70  
2014-07-00,COL,3.4   7.6 10.15 14.20,104  
2014-07-01,HAW,6.2  11.7  21.9 27.13,175  
2014-07-01,STK,2.3   2.3   3.4   4.6,30  
2014-07-02,GWS,3.4   5.4   9.6  15.7,97  
2014-07-02,POR,5.3  10.6  15.9 20.12,132  
2014-07-03,ADE,1.1   2.4  5.10  9.13,67  
2014-07-03,MEL,4.0   7.2   8.4  11.4,70  
2014-07-04,ESS,3.3   3.6  9.10 10.13,73  
2014-07-04,WBD,3.5   5.8   7.9  9.11,65  
2014-07-05,BRI,2.0   3.5   5.6   6.8,44  
2014-07-05,SYD,3.6   8.8 14.11 18.15,123  
2014-07-06,NM,1.4   7.6 10.10 11.11,77  
2014-07-06,GCS,7.4  10.5 13.10 18.12,120  
2014-07-07,GEE,3.3   7.8  8.10 11.15,81  
2014-07-07,RIC,0.1   4.3   8.3  12.4,76  
2014-07-08,WCE,2.0   3.8  5.11  7.12,54  
2014-07-08,FRE,4.2   5.3   9.6  11.7,73  
2014-08-00,SYD,4.8  6.12  9.16 15.17,107  
2014-08-00,HAW,2.2   6.5  11.7 13.10,88  
2014-08-01,POR,2.4   4.8  8.10 13.16,94  
2014-08-01,FRE,1.3   6.6   9.9 11.10,76  
2014-08-02,BRI,3.0   4.3   8.6   8.9,57  
2014-08-02,ESS,2.3   6.4   7.8  9.11,65  
2014-08-03,MEL,2.2   5.5  10.6 12.11,83  
2014-08-03,WBD,3.2   5.7   9.7  15.9,99  
2014-08-04,WCE,5.2  11.5  21.5  30.8,188  
2014-08-04,GWS,1.2   6.2   9.3  12.5,77  
2014-08-05,STK,1.1   4.3  6.10  9.15,69  
2014-08-05,CAR,2.6  10.6  11.7 15.11,101  
2014-09-00,ADE,1.4   5.6  9.10 10.16,76  
2014-09-00,COL,3.3   6.6   7.8  7.13,55  
2014-09-01,ESS,1.1   5.3   6.6  9.10,64  
2014-09-01,SYD,7.1  12.4  15.4  18.6,114  
2014-09-02,RIC,2.3   4.8  6.16  9.20,74  
2014-09-02,MEL,1.3   4.5   9.6  14.7,91  
2014-09-03,NM,5.5  8.11 13.18 17.23,125  
2014-09-03,BRI,1.1   3.2   4.2   6.2,38  
2014-09-04,FRE,5.3  7.11 10.15 13.18,96  
2014-09-04,GEE,0.3   3.5   6.7  9.10,64  
2014-09-05,STK,3.2   4.4  10.7  13.9,87  
2014-09-05,GCS,8.4  13.7  16.9 19.11,125  
2014-10-00,GEE,5.5  10.9 13.14 16.15,111  
2014-10-00,NM,2.2   5.4   9.8 13.13,91  
2014-10-01,GWS,1.5   1.6   3.9  5.11,41  
2014-10-01,RIC,8.0  14.2  21.4 24.10,154  
2014-10-02,COL,5.0   7.3  11.4  17.7,109  
2014-10-02,WCE,5.2   9.5 11.10 15.11,101  
2014-10-03,POR,4.2   8.3  11.7 15.10,100  
2014-10-03,HAW,2.3   4.4  10.6  13.8,86  
2014-10-04,GCS,4.0   7.2  15.9 18.11,119  
2014-10-04,WBD,3.3   5.8  6.10 10.14,74  
2014-10-05,CAR,2.2   4.2   8.5  12.9,81  
2014-10-05,ADE,1.4   2.7  7.12 10.16,76  
2014-11-00,SYD,4.4   8.9 14.11 22.16,148  
2014-11-00,GEE,0.3   1.3   2.4   5.8,38  
2014-11-01,STK,3.2   6.2   8.5   8.6,54  
2014-11-01,COL,7.2  10.5  14.8 21.14,140  
2014-11-02,MEL,2.2   7.4  10.5  11.9,75  
2014-11-02,POR,5.4   8.4  10.9 14.11,95  
2014-11-03,BRI,5.5   7.8 10.10 14.14,98  
2014-11-03,CAR,1.1   7.4  11.9 13.13,91  
2014-11-04,ESS,4.4   9.8 11.11 15.14,104  
2014-11-04,RIC,0.1   3.5   3.8  7.12,54  
2014-11-05,ADE,5.2   9.7  12.9 16.13,109  
2014-11-05,GCS,5.1   8.3  11.6 11.11,77  
2014-11-06,WBD,1.4   2.8  5.12  6.15,51  
2014-11-06,FRE,4.2   8.3   9.6 13.11,89  
2014-11-07,HAW,3.2   7.5  11.6 14.10,94  
2014-11-07,GWS,4.2   6.4  11.5  13.9,87  
2014-11-08,WCE,3.3   3.4   4.6   6.8,44  
2014-11-08,NM,4.0   6.6  10.9 12.10,82  
2014-12-00,GEE,3.1  10.6  12.7 16.11,107  
2014-12-00,CAR,4.4   7.5  12.9 15.12,102  
2014-12-01,HAW,3.4  10.6  16.7  19.9,123  
2014-12-01,WCE,4.4   7.5   8.7  12.7,79  
2014-12-02,POR,4.3   7.6 13.10 19.15,129  
2014-12-02,STK,2.2   4.5   5.5   9.5,59  
2014-12-03,GWS,2.1   4.4   5.9  9.12,66  
2014-12-03,ESS,3.3   5.8  8.11 11.15,81  
2014-12-04,WBD,5.3   7.5   9.5  13.9,87  
2014-12-04,BRI,4.3  11.8  13.9 14.11,95  
2014-12-05,GCS,1.6   3.9  6.13 10.14,74  
2014-12-05,SYD,4.3   8.4  13.4  17.7,109  
2014-12-06,FRE,1.4   3.9  8.13 12.18,90  
2014-12-06,ADE,3.2   4.5   5.6   7.8,50  
2014-12-07,NM,3.3   4.7 12.11 17.14,116  
2014-12-07,RIC,3.4  10.6  11.8 13.10,88  
2014-12-08,MEL,1.3   2.4   3.6  3.10,28  
2014-12-08,COL,1.2   3.7  5.10  8.13,61  
2014-13-00,CAR,2.1   6.5  11.9 13.12,90  
2014-13-00,HAW,6.2   9.5  12.8 18.10,118  
2014-13-01,RIC,1.3   5.9  7.11 12.13,85  
2014-13-01,FRE,3.1   7.5  13.8  16.9,105  
2014-13-02,SYD,2.8  6.12 11.13 14.14,98  
2014-13-02,POR,1.2   6.5  9.10 13.16,94  
2014-13-03,WCE,4.3   9.7 14.10 15.13,103  
2014-13-03,GCS,3.3   6.4   9.5 15.10,100  
2014-13-04,ADE,4.4   8.7 13.10 16.13,109  
2014-13-04,NM,1.2   4.3   6.7 10.13,73  
2014-13-05,BRI,4.2   9.3  12.3  12.8,80  
2014-13-05,GWS,4.3   9.4  15.6 19.11,125  
2014-13-06,GEE,6.4  12.7 16.11 20.13,133  
2014-13-06,STK,1.2   2.3   2.5   5.7,37  
2014-13-07,COL,3.2   9.4  12.6  15.8,98  
2014-13-07,WBD,4.2   9.5  13.6 16.10,106  
2014-13-08,ESS,2.4  5.12  8.12 10.17,77  
2014-13-08,MEL,0.3   3.3   7.6  12.6,78  
2014-14-00,RIC,4.2   6.4   7.6   7.9,51  
2014-14-00,SYD,1.2   4.2   7.5   9.8,62  
2014-14-01,POR,3.1   7.5  13.9 19.14,128  
2014-14-01,WBD,3.5   5.5   6.7   8.8,56  
2014-14-02,HAW,4.3   7.7 12.10 17.13,115  
2014-14-02,COL,3.1   6.4   9.7  13.8,86  
2014-14-03,GCS,3.2   5.6 10.12 17.16,118  
2014-14-03,GEE,5.1   6.7   9.7 11.12,78  
2014-14-04,FRE,2.2   9.3  12.7 15.15,105  
2014-14-04,BRI,0.1   0.1   2.3   3.4,22  
2014-14-05,ESS,7.0   9.2 11.10 15.11,101  
2014-14-05,ADE,2.6   5.7   9.7  14.8,92  
2014-14-06,GWS,5.1  10.2  13.4 15.10,100  
2014-14-06,CAR,5.1   6.5  10.8  14.8,92  
2014-14-07,STK,4.3   6.5   8.7 10.10,70  
2014-14-07,WCE,3.2   8.6 12.10 15.13,103  
2014-14-08,MEL,3.0   6.0   8.4  10.6,66  
2014-14-08,NM,4.5   7.8 14.12 15.17,107  
2014-15-00,GEE,5.1   8.4   8.6 13.11,89  
2014-15-00,ESS,1.3   3.5  8.10 11.14,80  
2014-15-01,HAW,2.5   9.6 14.11 17.14,116  
2014-15-01,GCS,3.0   5.0   6.0  10.3,63  
2014-15-02,STK,1.2   5.4   9.7  11.7,73  
2014-15-02,RIC,6.2  10.4  13.7  18.9,117  
2014-15-03,FRE,3.3   5.4  10.6 13.10,88  
2014-15-03,WCE,4.2   5.9  5.12 11.15,81  
2014-15-04,BRI,1.1   8.4  10.5 10.10,70  
2014-15-04,NM,3.5   4.7   6.9  9.12,66  
2014-15-05,SYD,4.4   8.9 12.11 15.16,106  
2014-15-05,GWS,1.4   1.7  4.10  8.12,60  
2014-15-06,WBD,4.1   7.4  10.4  14.7,91  
2014-15-06,MEL,1.3   3.4  10.5  13.7,85  
2014-15-07,ADE,3.5   6.6  9.12 14.15,99  
2014-15-07,POR,5.3  7.10  7.14 10.16,76  
2014-15-08,COL,6.3   8.8 10.12 13.13,91  
2014-15-08,CAR,2.2   6.3   7.7 11.10,76  
2014-16-00,NM,5.3   7.6  14.7 16.12,108  
2014-16-00,HAW,4.2   6.6  10.9 13.10,88  
2014-16-01,RIC,5.2   7.3  10.4  12.7,79  
2014-16-01,BRI,3.3   4.5  6.10  7.12,54  
2014-16-02,GWS,0.8  2.10  5.14  9.18,72  
2014-16-02,ADE,5.6  10.9 15.14 20.20,140  
2014-16-03,GCS,2.2   5.3   8.7 11.14,80  
2014-16-03,COL,4.3   6.8  6.13 10.15,75  
2014-16-04,POR,1.4   2.8  4.14  7.18,60  
2014-16-04,ESS,2.4   6.8  7.12  8.14,62  
2014-16-05,MEL,0.2   1.5   3.7  4.10,34  
2014-16-05,FRE,2.1   6.3  13.5  15.7,97  
2014-16-06,CAR,6.2  10.2  17.6  24.7,151  
2014-16-06,STK,2.0   7.5   9.5  10.6,66  
2014-16-07,WCE,2.2   4.5   6.7   7.9,51  
2014-16-07,SYD,3.4  5.12  7.14 10.19,79  
2014-16-08,GEE,3.3   7.5   9.8  10.9,69  
2014-16-08,WBD,0.4   3.6  6.11  7.14,56  
2014-17-00,ADE,3.0   7.4  11.4  14.8,92  
2014-17-00,HAW,4.3   8.4  13.9 15.14,104  
2014-17-01,MEL,0.2   2.5   4.6   5.6,36  
2014-17-01,GEE,3.7 11.10 12.13 14.18,102  
2014-17-02,NM,5.3   8.4  12.7 13.14,92  
2014-17-02,STK,0.3   1.9  2.11  3.15,33  
2014-17-03,WBD,5.1   5.5  7.12 13.16,94  
2014-17-03,GCS,2.3   6.6  7.10  9.12,66  
2014-17-04,SYD,2.4   6.6 16.10 18.14,122  
2014-17-04,CAR,1.2   5.5   5.6   7.9,51  
2014-17-05,BRI,1.1   4.3   6.6  9.10,64  
2014-17-05,WCE,3.2   5.3   9.5 11.10,76  
2014-17-06,RIC,4.2  11.6  14.7 19.12,126  
2014-17-06,POR,3.3   8.4  12.6 16.10,106  
2014-17-07,ESS,4.0   8.1  14.1  16.7,103  
2014-17-07,COL,2.4   2.6   4.9   5.9,39  
2014-17-08,FRE,4.1   9.5  14.5 21.10,136  
2014-17-08,GWS,1.3   4.5   7.6   9.6,60  
2014-18-00,CAR,4.3   9.7 10.13 16.13,109  
2014-18-00,NM,3.0   7.4  11.4  13.8,86  
2014-18-01,STK,4.3   9.6 15.14 17.16,118  
2014-18-01,FRE,1.1   3.2   5.6   9.6,60  
2014-18-02,GWS,2.4   4.6   7.9 12.15,87  
2014-18-02,GEE,2.5  4.10 10.14 13.16,94  
2014-18-03,POR,4.4   7.6   8.9 10.12,72  
2014-18-03,MEL,2.3   5.5   8.7  10.9,69  
2014-18-04,WBD,3.3   8.6  12.8 14.10,94  
2014-18-04,ESS,4.2   7.5  10.7 15.11,101  
2014-18-05,WCE,2.1   4.1   5.4   6.6,42  
2014-18-05,RIC,3.2   5.6   7.8  8.11,59  
2014-18-06,BRI,7.7 10.11 14.14 16.14,110  
2014-18-06,GCS,1.2   3.3   6.6   8.8,56  
2014-18-07,HAW,2.7   4.8 11.11 15.14,104  
2014-18-07,SYD,2.3   5.9  9.14 13.16,94  
2014-18-08,COL,3.0   5.4   8.8 12.10,82  
2014-18-08,ADE,5.5   7.8  9.13 14.14,98  
2014-19-00,FRE,5.1   6.5   8.7 12.11,83  
2014-19-00,CAR,4.2   4.6  8.11 11.12,78  
2014-19-01,SYD,5.3   7.8   9.8 11.13,79  
2014-19-01,ESS,1.1   3.4   6.6   8.9,57  
2014-19-02,ADE,6.0   9.2  15.7  16.9,105  
2014-19-02,WCE,5.5  10.8 14.11 20.16,136  
2014-19-03,RIC,3.2   8.5 10.10 13.11,89  
2014-19-03,GWS,2.3   2.7  6.10  8.14,62  
2014-19-04,NM,2.7  3.10  8.14 10.19,79  
2014-19-04,GEE,2.6   8.8 11.12 16.15,111  
2014-19-05,GCS,2.5   5.7 11.12 17.15,117  
2014-19-05,STK,1.3   4.6   7.9  9.10,64  
2014-19-06,MEL,3.3   4.8  5.13  6.15,51  
2014-19-06,BRI,3.3   4.3   5.6  11.8,74  
2014-19-07,HAW,5.2   7.6  11.7 16.11,107  
2014-19-07,WBD,2.1   2.5   5.7   6.9,45  
2014-19-08,COL,2.3   6.6   9.7 11.10,76  
2014-19-08,POR,1.0   5.7   8.8 10.10,70  
2014-20-00,RIC,1.2   7.4   9.8 14.11,95  
2014-20-00,ESS,3.2   6.4   8.7 11.11,77  
2014-20-01,GWS,1.4   6.5   6.6   7.9,51  
2014-20-01,NM,4.1   7.3  15.6 19.12,126  
2014-20-02,CAR,4.2  11.6 12.10 14.13,97  
2014-20-02,GCS,1.1   4.2   5.6  8.10,58  
2014-20-03,HAW,4.4  10.8  15.8 17.13,115  
2014-20-03,MEL,2.1   4.5   7.8  9.11,65  
2014-20-04,POR,2.3   3.7  5.12  7.16,58  
2014-20-04,SYD,2.2   5.6   8.9 12.12,84  
2014-20-05,GEE,4.2   7.4  11.6  12.9,81  
2014-20-05,FRE,1.4   5.5   7.6 11.13,79  
2014-20-06,BRI,4.0   6.3   7.7   9.9,63  
2014-20-06,ADE,6.3 12.11 16.14 25.18,168  
2014-20-07,STK,3.1   7.4  10.6  15.9,99  
2014-20-07,WBD,7.4  10.6 13.10 18.14,122  
2014-20-08,WCE,6.5   9.7 15.10 19.12,126  
2014-20-08,COL,2.1   7.2   8.4  10.6,66  
2014-21-00,CAR,1.4   5.6  9.10 11.10,76  
2014-21-00,GEE,3.2   6.5  8.13 11.16,82  
2014-21-01,SYD,6.3   8.8  15.9 19.13,127  
2014-21-01,STK,1.1   2.4   5.7   8.8,56  
2014-21-02,GCS,3.2   4.3   5.4   7.5,47  
2014-21-02,POR,1.5   2.8  4.12  7.14,56  
2014-21-03,ESS,2.1   4.5   9.7 11.11,77  
2014-21-03,WCE,2.4   8.4  11.6  11.8,74  
2014-21-04,ADE,2.3  4.10  5.13  9.15,69  
2014-21-04,RIC,5.1   7.5  8.14 10.19,79  
2014-21-05,COL,4.3   5.3   6.6   8.8,56  
2014-21-05,BRI,6.1  10.7 15.11 18.15,123  
2014-21-06,NM,5.2   8.2  12.5  17.9,111  
2014-21-06,WBD,1.0   5.6  7.11  8.13,61  
2014-21-07,MEL,2.4   2.9  2.11  3.16,34  
2014-21-07,GWS,2.1   6.4  10.7  15.8,98  
2014-21-08,FRE,3.0  10.3  15.6  17.8,110  
2014-21-08,HAW,4.7  10.9 11.11 13.13,91  
2014-22-00,POR,5.6  9.12 16.15 20.20,140  
2014-22-00,CAR,1.2   2.4   3.7   5.7,37  
2014-22-01,NM,4.3   5.6  9.12 14.17,101  
2014-22-01,ADE,2.3   5.7 10.11 13.16,94  
2014-22-02,ESS,3.2   7.6  11.9 16.12,108  
2014-22-02,GCS,2.3   4.6  10.8 13.11,89  
2014-22-03,GWS,3.4   6.6  8.11  9.13,67  
2014-22-03,COL,2.3   5.5   7.7  11.9,75  
2014-22-04,WCE,6.1   9.5  16.9 18.11,119  
2014-22-04,MEL,1.1   3.3   5.4   8.5,53  
2014-22-05,HAW,2.2   3.2   9.7 14.10,94  
2014-22-05,GEE,3.2   8.3   9.3  11.5,71  
2014-22-06,BRI,0.4   2.5   4.8  6.12,48  
2014-22-06,FRE,4.8  9.10 10.13 15.16,106  
2014-22-07,WBD,1.2   5.5  7.10  9.13,67  
2014-22-07,SYD,7.3  11.5  17.7 20.10,130  
2014-22-08,RIC,6.0   8.3  13.5  15.8,98  
2014-22-08,STK,2.2   4.7   5.9 10.12,72  
2014-23-00,COL,2.3   4.6   5.8   8.8,56  
2014-23-00,HAW,1.4   8.8  12.9 18.13,121  
2014-23-01,CAR,6.3   7.4  11.4  14.6,90  
2014-23-01,ESS,1.3   9.6 11.11 13.12,90  
2014-23-02,FRE,3.3   7.5  13.8  16.9,105  
2014-23-02,POR,3.3   7.6  9.10 14.13,97  
2014-23-03,SYD,2.1   4.3   7.6  9.11,65  
2014-23-03,RIC,5.3   6.4   8.5  10.8,68  
2014-23-04,GEE,5.2  11.6 16.13 21.17,143  
2014-23-04,BRI,2.4   7.5  10.6  12.9,81  
2014-23-05,NM,4.3   8.5  13.9  19.9,123  
2014-23-05,MEL,4.3   8.5   9.7  14.9,93  
2014-23-06,GCS,6.3   9.6  11.8  15.9,99  
2014-23-06,WCE,6.2   9.8 20.10 23.13,151  
2014-23-07,ADE,4.2  11.5  15.5  22.9,141  
2014-23-07,STK,2.2   3.3   8.7   9.8,62  
2014-23-08,WBD,2.4   5.8 11.14 15.19,109  
2014-23-08,GWS,4.0  10.4  12.6  18.7,115  
2014-24-QualifyingFinal,HAW,3.4   6.5  10.8 15.14,104  
2014-24-QualifyingFinal,GEE,2.1   6.5   8.6  10.8,68   
2014-25-QualifyingFinal,SYD,3.4   5.8  9.10 13.15,93   
2014-25-QualifyingFinal,FRE,3.1   5.3   6.6  10.9,69   
2014-26-EliminationFinal,NM,2.3   2.4   9.5  14.9,93   
2014-26-EliminationFinal,ESS,2.4   6.7  10.8  12.9,81   
2014-27-EliminationFinal,POR,8.1  14.5  19.8 20.12,132  
2014-27-EliminationFinal,RIC,1.1   3.2   6.5  11.9,75   
2014-28-SemiFinal,NM,7.1   9.6  12.9 14.14,98   
2014-28-SemiFinal,GEE,5.1   5.6   8.9 13.14,92   
2014-29-SemiFinal,POR,2.2   3.5   9.9 15.15,105  
2014-29-SemiFinal,FRE,3.5  6.11  8.13 11.17,83   
2014-30-PreliminaryFinal,SYD,4.5  9.10 13.17 19.22,136  
2014-30-PreliminaryFinal,NM,1.2   4.4   6.7  9.11,65   
2014-31-PreliminaryFinal,HAW,2.3   8.4  13.6  15.7,97   
2014-31-PreliminaryFinal,POR,3.9  5.11  8.13 13.16,94   
2014-32-GrandFinal,HAW,5.5  11.9 16.11 21.11,137  
2014-32-GrandFinal,SYD,2.3   5.3   8.5  11.8,74   
