matchid,team,score_progression,score
1990-07-05,Brisbane Bears,3.2   9.4 12.10 14.12,96  
1990-07-05,Sydney,3.3   6.5   9.5 13.10,88  
1990-07-06,Geelong,4.6  5.15  5.20  9.28,82  
1990-07-06,Richmond,3.5   6.8 11.14 13.18,96  
1990-08-00,Sydney,3.6   6.9  8.15 15.17,107  
1990-08-00,Geelong,2.2  5.10 11.12 13.20,98  
1990-08-01,Carlton,5.3   8.5 10.10 18.18,126  
1990-08-01,Hawthorn,1.2   3.2   7.2   9.5,59  
1990-08-02,Fitzroy,1.10  3.14  9.19  9.21,75  
1990-08-02,Collingwood,2.5  4.12  7.14 17.18,120  
1990-08-03,Melbourne,6.4  11.6  13.7 20.13,133  
1990-08-03,Richmond,3.5   5.7 10.11 11.14,80  
1990-08-04,St Kilda,6.7  8.13 10.18 12.22,94  
1990-08-04,North Melbourne,4.0   6.5  8.10 11.12,78  
1990-08-05,Footscray,1.2   4.8  6.10 11.12,78  
1990-08-05,Essendon,3.7   8.8 13.11 14.13,97  
1990-08-06,West Coast,4.9  8.13 14.19 16.26,122  
1990-08-06,Brisbane Bears,2.1   5.4   6.7   9.9,63  
1990-09-00,Carlton,4.1   7.4 13.10 18.15,123  
1990-09-00,Fitzroy,3.5 10.10 11.14 11.16,82  
1990-09-01,Collingwood,6.6 11.11 15.15 26.20,176  
1990-09-01,North Melbourne,3.2   7.8 11.10 14.12,96  
1990-09-02,Essendon,5.3   9.9 14.12 18.16,124  
1990-09-02,St Kilda,6.3   9.8 13.10 17.11,113  
1990-09-03,Hawthorn,2.1   5.2   9.5  14.8,92  
1990-09-03,Melbourne,4.3   6.4   7.5   7.6,48  
1990-09-04,Brisbane Bears,3.2   3.4   4.7   8.8,56  
1990-09-04,Footscray,0.1   7.5 13.10 19.11,125  
1990-09-05,Richmond,3.8  8.12 12.14 20.19,139  
1990-09-05,Sydney,1.1   2.4   5.5   9.6,60  
1990-09-06,West Coast,4.4  5.10  9.12 16.16,112  
1990-09-06,Geelong,3.4   5.8 10.14 13.15,93  
1990-10-00,North Melbourne,2.4   8.7 14.11 17.16,118  
1990-10-00,West Coast,4.4   7.6   9.9 13.12,90  
1990-10-01,St Kilda,6.6 14.11 19.19 21.22,148  
1990-10-01,Brisbane Bears,2.3   3.4   6.8 10.11,71  
1990-10-02,Richmond,3.5  6.12 11.14 15.18,108  
1990-10-02,Carlton,3.1   8.4  10.4  13.7,85  
1990-10-03,Collingwood,3.1   8.4  12.7 16.14,110  
1990-10-03,Melbourne,2.2   2.2   7.3   9.4,58  
1990-10-04,Fitzroy,1.3   6.7 12.10 15.13,103  
1990-10-04,Hawthorn,3.4   6.6  11.8 13.11,89  
1990-10-05,Sydney,3.2   4.3   6.6  11.8,74  
1990-10-05,Essendon,6.4  14.6 20.10 25.14,164  
1990-10-06,Geelong,7.3   8.4  12.7 14.12,96  
1990-10-06,Footscray,2.3   8.8  11.9 13.16,94  
1990-11-00,Essendon,4.2   5.4  10.6  15.9,99  
1990-11-00,West Coast,2.1   2.4   6.9  8.12,60  
1990-11-01,St Kilda,4.5   6.9  10.9 15.14,104  
1990-11-01,Geelong,5.4   9.4 14.10 16.16,112  
1990-11-02,Hawthorn,7.7 11.10 14.14 19.18,132  
1990-11-02,Sydney,4.2   5.5  8.11 11.17,83  
1990-11-03,Brisbane Bears,2.3   4.3   8.8 10.13,73  
1990-11-03,Collingwood,4.5  9.10 11.12 15.17,107  
1990-11-04,Melbourne,4.3  10.5  14.6  15.9,99  
1990-11-04,Carlton,3.2   5.4  10.9 13.15,93  
1990-11-05,Fitzroy,2.3   3.3   6.9 11.12,78  
1990-11-05,North Melbourne,2.4  10.6  15.7 15.10,100  
1990-11-06,Footscray,4.2   6.3  10.6  15.6,96  
1990-11-06,Richmond,2.3   5.6   6.6 12.10,82  
1990-12-00,West Coast,7.2   8.4  11.6  16.9,105  
1990-12-00,Hawthorn,2.1   2.6  10.7 12.10,82  
1990-12-01,Carlton,6.2  10.6  17.7 24.14,158  
1990-12-01,Brisbane Bears,1.7  6.11  9.17 11.23,89  
1990-12-02,Geelong,4.9  8.10 11.12 12.16,88  
1990-12-02,Collingwood,2.1   7.5  11.8 14.15,99  
1990-12-03,Essendon,4.1  11.8 13.11 18.16,124  
1990-12-03,North Melbourne,2.5   6.8 10.13 13.16,94  
1990-12-04,Richmond,5.4  11.9 13.15 18.20,128  
1990-12-04,St Kilda,8.6   9.8 14.11 16.12,108  
1990-12-05,Sydney,2.6   3.7  7.11 10.11,71  
1990-12-05,Fitzroy,3.2   7.9 10.13 17.14,116  
1990-12-06,Footscray,1.1   2.3   5.5  10.8,68  
1990-12-06,Melbourne,4.1   6.5 13.11 15.11,101  
1990-13-00,Carlton,2.3   4.6 13.12 18.15,123  
1990-13-00,Geelong,3.7  9.17 10.23 13.26,104  
1990-13-01,Melbourne,4.2   7.7 10.11 14.15,99  
1990-13-01,St Kilda,3.5   9.9 14.11 20.12,132  
1990-13-02,Brisbane Bears,2.2   2.8  5.10  7.13,55  
1990-13-02,Essendon,4.3   9.7 10.10 15.19,109  
1990-13-03,Collingwood,2.2   6.6 11.12 14.17,101  
1990-13-03,Richmond,2.4   2.6   4.9  5.12,42  
1990-13-04,Hawthorn,4.2   5.2   7.8 10.13,73  
1990-13-04,Footscray,1.0   5.4  12.5  14.7,91  
1990-13-05,North Melbourne,5.7  8.12 14.17 18.23,131  
1990-13-05,Sydney,1.2   2.3   3.7  5.11,41  
1990-13-06,West Coast,5.2   8.2  15.7  20.8,128  
1990-13-06,Fitzroy,2.3   6.6  8.10 13.13,91  
1990-14-00,Richmond,8.6 11.11 15.16 22.21,153  
1990-14-00,Brisbane Bears,2.0   4.1   9.4 10.11,71  
1990-14-01,Collingwood,2.5   8.7 11.11 15.12,102  
1990-14-01,West Coast,4.3   5.5   8.8 11.10,76  
1990-14-02,Fitzroy,1.1   5.3   6.5   9.7,61  
1990-14-02,Essendon,2.6   4.9 13.18 20.24,144  
1990-14-03,St Kilda,3.3   6.8  8.12 11.12,78  
1990-14-03,Footscray,3.5   6.5   9.9 12.13,85  
1990-14-04,Hawthorn,7.4  10.5 15.10 18.10,118  
1990-14-04,Geelong,0.2   3.6   4.6   7.8,50  
1990-14-05,Melbourne,1.5   3.9  8.12 10.13,73  
1990-14-05,North Melbourne,5.4  14.6  22.9 31.14,200  
1990-14-06,Sydney,6.2   9.8  10.8 13.12,90  
1990-14-06,Carlton,6.2   9.4  19.7 25.12,162  
1990-15-00,West Coast,2.1   6.6  8.10 16.12,108  
1990-15-00,St Kilda,9.3  11.4  12.5  14.6,90  
1990-15-01,Collingwood,4.3   9.6  14.8 17.11,113  
1990-15-01,Carlton,0.2   1.6   3.8  8.11,59  
1990-15-02,Hawthorn,2.1   5.3   6.5  10.7,67  
1990-15-02,Essendon,2.4   7.8 16.14 21.16,142  
1990-15-03,Footscray,2.4   7.6  11.6 17.10,112  
1990-15-03,Sydney,6.5   7.8 11.14 13.18,96  
1990-15-04,Geelong,4.1   7.3  15.5 17.11,113  
1990-15-04,Melbourne,3.5   9.7 12.11 15.13,103  
1990-15-05,North Melbourne,3.3  11.6  19.7 22.12,144  
1990-15-05,Richmond,3.2   6.4   9.8 15.10,100  
1990-15-06,Brisbane Bears,5.1   7.4  12.5  17.9,111  
1990-15-06,Fitzroy,2.2   7.3   8.7   9.8,62  
1990-16-00,West Coast,5.3   7.6  11.9 16.13,109  
1990-16-00,Footscray,0.4   3.7  5.11  9.12,66  
1990-16-01,Carlton,3.2   9.3  15.5  19.9,123  
1990-16-01,St Kilda,3.6  5.11 12.15 15.18,108  
1990-16-02,Essendon,5.6   9.8 13.12 15.16,106  
1990-16-02,Melbourne,3.2   7.5   9.9 17.12,114  
1990-16-03,Fitzroy,2.1   7.1  12.5  17.6,108  
1990-16-03,Geelong,0.1   7.6  10.6  12.9,81  
1990-16-04,Richmond,2.2   6.5   8.6  10.8,68  
1990-16-04,Hawthorn,6.2  12.5  19.6  25.9,159  
1990-16-05,North Melbourne,1.3   9.5 10.10 13.12,90  
1990-16-05,Brisbane Bears,5.3   5.6   6.9  7.12,54  
1990-16-06,Sydney,3.3   7.6  11.8  19.9,123  
1990-16-06,Collingwood,5.6  9.10 14.18 21.21,147  
1990-17-00,Carlton,5.2   7.4  11.6 15.11,101  
1990-17-00,West Coast,5.5  12.7  16.8 20.12,132  
1990-17-01,Essendon,6.5  11.7 17.10 18.17,125  
1990-17-01,Richmond,1.3   3.5   4.8  6.10,46  
1990-17-02,Melbourne,4.8 11.13 13.17 15.19,109  
1990-17-02,Fitzroy,2.3   5.7  8.13 12.18,90  
1990-17-03,Geelong,7.3  11.5  15.8  17.8,110  
1990-17-03,North Melbourne,5.4  13.5  17.8 20.11,131  
1990-17-04,St Kilda,5.3 10.10 18.13 22.16,148  
1990-17-04,Sydney,2.7  5.11  8.11 10.13,73  
1990-17-05,Brisbane Bears,5.2  10.3  13.6 14.11,95  
1990-17-05,Hawthorn,1.7  7.10 13.12 16.14,110  
1990-17-06,Footscray,4.2   8.7  13.8 14.12,96  
1990-17-06,Collingwood,0.5  3.10  7.16 12.21,93  
1990-18-00,North Melbourne,3.4   7.7 10.10 14.14,98  
1990-18-00,Hawthorn,5.3  10.9 13.13 15.18,108  
1990-18-01,Melbourne,2.4   9.8  9.12 10.13,73  
1990-18-01,Brisbane Bears,3.1   4.1   8.3   9.6,60  
1990-18-02,Collingwood,3.9 10.13 13.19 16.21,117  
1990-18-02,St Kilda,2.1   2.3   4.5   7.7,49  
1990-18-03,Geelong,5.4   5.5  12.8  14.8,92  
1990-18-03,Essendon,2.2   5.6  7.11 13.16,94  
1990-18-04,Fitzroy,4.4   9.8 15.14 16.17,113  
1990-18-04,Richmond,2.4  3.10  8.12 10.15,75  
1990-18-05,Footscray,4.2   5.4   8.8  9.13,67  
1990-18-05,Carlton,0.0   6.2  14.6  15.6,96  
1990-18-06,Sydney,1.3   4.4   8.7  10.8,68  
1990-18-06,West Coast,4.5   5.6   8.8 12.11,83  
1990-19-00,Fitzroy,2.7   3.8  7.14 12.16,88  
1990-19-00,Footscray,5.9  7.12 12.18 17.21,123  
1990-19-01,Hawthorn,3.5  12.8 14.12 17.17,119  
1990-19-01,St Kilda,4.0   6.2  11.4  13.5,83  
1990-19-02,Melbourne,9.2  15.6  19.8 27.11,173  
1990-19-02,Sydney,4.3   7.5 10.13 15.16,106  
1990-19-03,Brisbane Bears,5.3  13.6  20.9 25.13,163  
1990-19-03,Geelong,4.4   5.7   9.9 14.13,97  
1990-19-04,North Melbourne,6.3   9.5  11.8 13.11,89  
1990-19-04,Carlton,0.1  3.10  7.12  7.13,55  
1990-19-05,Essendon,4.4   7.4  12.6  13.6,84  
1990-19-05,Collingwood,0.2   4.6   7.8 11.12,78  
1990-19-06,West Coast,3.3  10.9 15.12 22.21,153  
1990-19-06,Richmond,7.3   8.5  13.7  16.9,105  
1990-20-00,Sydney,1.6  3.11  4.15 11.20,86  
1990-20-00,Brisbane Bears,3.4   4.7  7.11  7.13,55  
1990-20-01,Carlton,3.4   5.6  10.9 16.11,107  
1990-20-01,Essendon,1.0   4.7  8.13 12.15,87  
1990-20-02,Hawthorn,5.2  10.5  19.6  26.7,163  
1990-20-02,Collingwood,2.2   6.3   9.5  12.8,80  
1990-20-03,St Kilda,4.5   7.7 11.12 17.15,117  
1990-20-03,Fitzroy,4.0  10.3  15.5  18.8,116  
1990-20-04,Footscray,2.5   8.9  9.13 12.16,88  
1990-20-04,North Melbourne,3.4   5.5 12.10 17.13,115  
1990-20-05,Richmond,3.1   9.4  10.5 14.10,94  
1990-20-05,Geelong,7.5  12.6 18.10 24.14,158  
1990-20-06,West Coast,1.3   5.5  10.8 15.13,103  
1990-20-06,Melbourne,4.5   8.8 15.10 21.13,139  
1990-21-00,North Melbourne,8.3  14.8 20.14 27.17,179  
1990-21-00,St Kilda,2.4   5.9  8.11 12.15,87  
1990-21-01,Hawthorn,4.3   8.6  15.9 17.14,116  
1990-21-01,Carlton,4.6   4.8   7.9 12.13,85  
1990-21-02,Collingwood,5.4   9.7 14.10 17.16,118  
1990-21-02,Fitzroy,0.0   1.2   3.4   4.8,32  
1990-21-03,Essendon,1.4   7.9 11.12 15.14,104  
1990-21-03,Footscray,5.4   7.5   9.7 11.14,80  
1990-21-04,Geelong,1.4   5.6  8.15 12.18,90  
1990-21-04,Sydney,3.2   6.3   8.5  14.8,92  
1990-21-05,Richmond,2.1   5.1   7.4   7.8,50  
1990-21-05,Melbourne,2.2  7.11  9.14 12.14,86  
1990-21-06,Brisbane Bears,1.2   5.5   7.8  8.11,59  
1990-21-06,West Coast,4.4   9.7 11.10 14.16,100  
1990-22-00,Footscray,5.8 10.13 13.16 16.21,117  
1990-22-00,Brisbane Bears,1.0   4.2   9.2  15.6,96  
